id,srcLatitude,srcLongitude,destLatitude,destLongitude,distance,parent
11108,14.92,-23.49,11.89,-15.65,913.318727,0
11109,43.63,1.36,41.8,12.25,913.2514406,0
11110,-20.82,-49.41,-15.65,-56.12,912.9511218,0
11111,23.59,58.28,24.91,67.16,912.579212,0
11112,45.63,8.73,44.82,20.31,912.4842824,0
11113,26.82,75.81,19.09,72.87,912.3096481,0
11114,40.9,29.31,37.45,38.9,912.2799403,0
11115,48.11,16.57,45.73,5.09,912.2346486,0
11116,-0.87,100.35,-6.13,106.66,912.1244431,0
11117,-17.93,31.09,-24.56,25.92,911.9296904,0
11118,41.98,-87.9,38.14,-78.45,911.6667834,0
11119,33.15,130.3,35.55,139.78,911.0874735,0
11120,40.66,-89.69,33.64,-84.43,911.0333251,0
11121,55.04,-1.69,55.62,12.66,910.9756573,0
