id,srcLatitude,srcLongitude,destLatitude,destLongitude,airline,srcAirport,destAirport
55,-34.82,-58.54,49.01,2.55,KLM Royal Dutch Airlines,EZE,CDG
56,33.94,-118.41,41.8,12.25,Delta Air Lines,LAX,FCO
57,1.35,103.99,49.01,2.55,Singapore Airlines,SIN,CDG
58,25.08,121.23,21.32,-157.92,Hawaiian Airlines,TPE,HNL
59,55.59,37.26,21.04,-86.88,Transaero Airlines,VKO,CUN
60,51.48,-0.46,2.75,101.71,Malaysia Airlines,LHR,KUL
61,35.76,140.39,51.48,-0.46,Virgin Atlantic Airways,NRT,LHR
62,32.9,-97.04,-27.38,153.12,Qantas,DFW,BNE
63,-33.95,151.18,32.9,-97.04,Qantas,SYD,DFW
64,1.35,103.99,41.3,2.08,Singapore Airlines,SIN,BCN
65,51.48,-0.46,35.55,139.78,Virgin Atlantic Airways,LHR,HND
66,35.76,140.39,49.01,2.55,All Nippon Airways,NRT,CDG
67,24.96,46.7,40.64,-73.78,Saudi Arabian Airlines,RUH,JFK
68,35.55,139.78,49.01,2.55,All Nippon Airways,HND,CDG
69,25.25,55.36,-34.95,138.53,Qantas,DXB,ADL
70,43.68,-79.63,21.68,39.16,Saudi Arabian Airlines,YYZ,JED
71,1.35,103.99,52.31,4.76,US Airways,SIN,AMS
72,21.68,39.16,38.94,-77.46,Saudi Arabian Airlines,JED,IAD
73,40.98,28.81,29.98,-95.34,US Airways,IST,IAH
74,29.98,-95.34,55.41,37.91,Transaero Airlines,IAH,DME
75,40.49,-3.57,37.47,126.45,Korean Air,MAD,ICN
76,34.43,135.24,21.32,-157.92,Japan Airlines,KIX,HNL
77,2.75,101.71,49.01,2.55,Malaysia Airlines,KUL,CDG
78,29.23,47.97,40.64,-73.78,Kuwait Airways,KWI,JFK
79,35.76,140.39,45.63,8.73,Alitalia,NRT,MXP
80,-12.02,-77.11,52.31,4.76,KLM Royal Dutch Airlines,LIM,AMS
81,34.43,135.24,49.01,2.55,Air France,KIX,CDG
82,-8.86,13.23,22.99,-82.41,TAAG Angola Airlines,LAD,HAV
83,35.76,140.39,41.8,12.25,Alitalia,NRT,FCO
84,21.32,-157.92,38.14,140.92,Hawaiian Airlines,HNL,SDJ
85,-33.39,-70.79,40.49,-3.57,LAN Airlines,SCL,MAD
86,41.98,-87.9,31.72,35.99,US Airways,ORD,AMM
87,34.86,136.81,21.32,-157.92,Japan Airlines,NGO,HNL
88,47.46,8.55,35.76,140.39,All Nippon Airways,ZRH,NRT
89,2.75,101.71,52.31,4.76,Malaysia Airlines,KUL,AMS
90,48.35,11.79,33.94,-118.41,United Airlines,MUC,LAX
91,35.76,140.39,52.31,4.76,KLM Royal Dutch Airlines,NRT,AMS
92,1.35,103.99,50.03,8.54,US Airways,SIN,FRA
93,37.62,-122.37,48.35,11.79,United Airlines,SFO,MUC
94,40.64,-73.78,21.68,39.16,Saudi Arabian Airlines,JFK,JED
95,40.98,28.81,-23.43,-46.47,Turkish Airlines,IST,GRU
96,47.46,8.55,1.35,103.99,US Airways,ZRH,SIN
97,-26.14,28.25,22.31,113.91,South African Airways,JNB,HKG
98,55.97,37.41,22.99,-82.41,Aeroflot Russian Airlines,SVO,HAV
99,35.76,140.39,51.29,6.77,All Nippon Airways,NRT,DUS
100,10.82,106.65,49.01,2.55,Vietnam Airlines,SGN,CDG
101,23.03,-81.44,55.41,37.91,Transaero Airlines,VRA,DME
102,1.35,103.99,45.63,8.73,Singapore Airlines,SIN,MXP
103,21.32,-157.92,35.55,139.78,United Airlines,HNL,HND
104,25.08,121.23,49.01,2.55,EVA Air,TPE,CDG
105,45.51,12.35,35.76,140.39,Alitalia,VCE,NRT
106,35.76,140.39,50.03,8.54,Japan Airlines,NRT,FRA
107,35.76,140.39,21.32,-157.92,United Airlines,NRT,HNL
108,35.55,139.78,50.03,8.54,All Nippon Airways,HND,FRA
109,-34.82,-58.54,41.3,2.08,Aerolineas Argentinas,EZE,BCN
110,47.46,8.55,33.94,-118.41,United Airlines,ZRH,LAX
111,-12.02,-77.11,49.01,2.55,Alitalia,LIM,CDG
112,34.43,135.24,41.8,12.25,Alitalia,KIX,FCO
113,47.46,8.55,37.62,-122.37,United Airlines,ZRH,SFO
114,1.35,103.99,55.62,12.66,Singapore Airlines,SIN,CPH
115,-33.95,151.18,28.57,77.1,Air India Limited,SYD,DEL
116,33.94,-118.41,59.65,17.92,Norwegian Air Shuttle,LAX,ARN
117,40.49,-3.57,13.68,100.75,Thai Airways International,MAD,BKK
118,6.58,3.32,29.98,-95.34,United Airlines,LOS,IAH
119,34.43,135.24,52.31,4.76,KLM Royal Dutch Airlines,KIX,AMS
120,48.35,11.79,19.44,-99.07,Lufthansa,MUC,MEX
121,48.35,11.79,35.55,139.78,All Nippon Airways,MUC,HND
122,51.48,-0.46,22.31,113.91,Virgin Atlantic Airways,LHR,HKG
123,1.35,103.99,48.35,11.79,Virgin Atlantic Airways,SIN,MUC
124,2.75,101.71,50.03,8.54,Malaysia Airlines,KUL,FRA
125,34.86,136.81,50.03,8.54,All Nippon Airways,NGO,FRA
126,33.94,-118.41,50.03,8.54,United Airlines,LAX,FRA
127,33.94,-118.41,55.62,12.66,Norwegian Air Shuttle,LAX,CPH
128,37.62,-122.37,50.03,8.54,United Airlines,SFO,FRA
129,34.43,135.24,50.03,8.54,All Nippon Airways,KIX,FRA
130,37.72,-122.22,59.65,17.92,Norwegian Air Shuttle,OAK,ARN
131,25.08,121.23,52.31,4.76,KLM Royal Dutch Airlines,TPE,AMS
132,51.48,-0.46,23.39,113.3,China Southern Airlines,LHR,CAN
133,-37.67,144.84,28.57,77.1,Air India Limited,MEL,DEL
134,14.51,121.02,21.32,-157.92,Philippine Airlines,MNL,HNL
135,37.62,-122.37,55.62,12.66,Scandinavian Airlines System,SFO,CPH
136,1.35,103.99,41.8,12.25,Singapore Airlines,SIN,FCO
137,22.31,113.91,49.01,2.55,Cathay Pacific,HKG,CDG
138,31.14,121.81,51.48,-0.46,Virgin Atlantic Airways,PVG,LHR
139,-2.16,-79.88,52.31,4.76,KLM Royal Dutch Airlines,GYE,AMS
140,55.59,37.26,25.79,-80.29,Transaero Airlines,VKO,MIA
141,55.97,37.41,25.79,-80.29,Aeroflot Russian Airlines,SVO,MIA
142,33.59,130.45,52.31,4.76,KLM Royal Dutch Airlines,FUK,AMS
143,33.94,-118.41,51.29,6.77,Air Berlin,LAX,DUS
144,19.44,-99.07,50.03,8.54,Lufthansa,MEX,FRA
145,-1.32,36.93,37.47,126.45,Kenya Airways,NBO,ICN
146,51.48,-0.46,13.68,100.75,Thai Airways International,LHR,BKK
147,10.82,106.65,50.03,8.54,Vietnam Airlines,SGN,FRA
148,40.49,-3.57,-34.82,-58.54,Air Europa,MAD,EZE
149,24.54,118.13,52.31,4.76,KLM Royal Dutch Airlines,XMN,AMS
150,31.14,121.81,49.01,2.55,China Eastern Airlines,PVG,CDG
151,49.01,2.55,23.39,113.3,China Southern Airlines,CDG,CAN
152,47.46,8.55,36.08,-115.15,Swiss International Air Lines,ZRH,LAS
